lastname,firstname,title,year,volume,ID,decade
Retcliffe,Sir John,Magenta und Solferino,1864,Band 1,Sir_John_Retcliffe_-_Magenta_und_Solferino_-_Band_1_(1864),1860
Hoefer,Edmund,Das Wyler Schlößchen,1865,,Edmund_Hoefer_-_Das_Wyler_Schlößchen_(1865),1860
Spielhagen,Friedrich,Hammer und Amboß,1869,,Friedrich_Spielhagen_-_Hammer_und_Amboß_(1869),1860
Wildermuth,Ottilie,Krieg und Frieden,1862,,Ottilie_Wildermuth_-_Krieg_und_Frieden_(1862),1860
Freytag,Gustav,Die verlorene Handschrift,1864,,Gustav_Freytag_-_Die_verlorene_Handschrift_(1864),1860
Schmidt,Maximilian,Glasmacherleut',1869,,Maximilian_Schmidt_-_Glasmacherleut'_(1869),1860
Stifter,Adalbert,Nachkommenschaften,1864,,Adalbert_Stifter_-_Nachkommenschaften_(1864),1860
Stifter,Adalbert,Witiko,1865,,Adalbert_Stifter_-_Witiko_(1865),1860
Raabe,Wilhelm,Keltische Knochen,1864,,Wilhelm_Raabe_-_Keltische_Knochen_(1864),1860
Retcliffe,Sir John,Magenta und Solferino,1864,Band 3,Sir_John_Retcliffe_-_Magenta_und_Solferino_-_Band_3_(1864),1860
Busch,Wilhelm,Kurze Geschichten,1864,,Wilhelm_Busch_-_Kurze_Geschichten_(1864),1860
Auerbach,Berthold,Das Landhaus am Rhein,1869,Band I,Berthold_Auerbach_-_Das_Landhaus_am_Rhein_-_Band_I_(1869),1860
Raabe,Wilhelm,Gedelöcke,1866,,Wilhelm_Raabe_-_Gedelöcke_(1866),1860
Kompert,Leopold,Gottes Annehmerin,1865,,Leopold_Kompert_-_Gottes_Annehmerin_(1865),1860
Raabe,Wilhelm,Das letzte Recht,1862,,Wilhelm_Raabe_-_Das_letzte_Recht_(1862),1860
Auerbach,Berthold,Auf der Höhe Dritter Band,1865,,Berthold_Auerbach_-_Auf_der_Höhe_Dritter_Band_(1865),1860
